batch	compound	rt_mean	rt_shift	rt_stdev	sample
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0001_qc
1	Inositol	39118.494505494506	64.50549450549443	369.17152193414523	s0001_qc
1	Inositol	39118.494505494506	667.5054945054944	369.17152193414523	s0001_blank
1	Inositol	39118.494505494506	55.505494505494426	369.17152193414523	s0001_cal0
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0001_cal2
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0001_cal4
1	Inositol	39118.494505494506	63.505494505494426	369.17152193414523	s0001_cal6
1	Inositol	39118.494505494506	63.505494505494426	369.17152193414523	s0001_qc
1	Inositol	39118.494505494506	-2002.4945054945056	369.17152193414523	s0001_blank
1	Inositol	39118.494505494506	69.50549450549443	369.17152193414523	s0168
1	Inositol	39118.494505494506	69.50549450549443	369.17152193414523	s0165
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0164
1	Inositol	39118.494505494506	55.505494505494426	369.17152193414523	s0163
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0220
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0077
1	Inositol	39118.494505494506	53.505494505494426	369.17152193414523	s0113
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0014
1	Inositol	39118.494505494506	63.505494505494426	369.17152193414523	s0106
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0059
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0001_qc
1	Inositol	39118.494505494506	69.50549450549443	369.17152193414523	s0058
1	Inositol	39118.494505494506	66.50549450549443	369.17152193414523	s0185
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0179
1	Inositol	39118.494505494506	63.505494505494426	369.17152193414523	s0177
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0175
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0199
1	Inositol	39118.494505494506	72.50549450549443	369.17152193414523	s0176
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0191
1	Inositol	39118.494505494506	50.505494505494426	369.17152193414523	s0093
1	Inositol	39118.494505494506	64.50549450549443	369.17152193414523	s0108
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0001_qc
1	Inositol	39118.494505494506	55.505494505494426	369.17152193414523	s0195
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0201
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0126
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0222
1	Inositol	39118.494505494506	55.505494505494426	369.17152193414523	s0128
1	Inositol	39118.494505494506	55.505494505494426	369.17152193414523	s0144
1	Inositol	39118.494505494506	72.50549450549443	369.17152193414523	s0134
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0131
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0056
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0152
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0001_qc
1	Inositol	39118.494505494506	63.505494505494426	369.17152193414523	s0049
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0141
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0099
1	Inositol	39118.494505494506	55.505494505494426	369.17152193414523	s0215
1	Inositol	39118.494505494506	66.50549450549443	369.17152193414523	s0140
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0146
1	Inositol	39118.494505494506	72.50549450549443	369.17152193414523	s0149
1	Inositol	39118.494505494506	75.50549450549443	369.17152193414523	s0138
1	Inositol	39118.494505494506	66.50549450549443	369.17152193414523	s0141
1	Inositol	39118.494505494506	64.50549450549443	369.17152193414523	s0049
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0001_qc
1	Inositol	39118.494505494506	64.50549450549443	369.17152193414523	s0031
1	Inositol	39118.494505494506	66.50549450549443	369.17152193414523	s0030
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0035
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0033
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0032
1	Inositol	39118.494505494506	66.50549450549443	369.17152193414523	s0048
1	Inositol	39118.494505494506	55.505494505494426	369.17152193414523	s0222
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0126
1	Inositol	39118.494505494506	66.50549450549443	369.17152193414523	s0208
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0057
1	Inositol	39118.494505494506	61.505494505494426	369.17152193414523	s0001_qc
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0036
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0147
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0148
1	Inositol	39118.494505494506	55.505494505494426	369.17152193414523	s0102
1	Inositol	39118.494505494506	53.505494505494426	369.17152193414523	s0199
1	Inositol	39118.494505494506	55.505494505494426	369.17152193414523	s0175
1	Inositol	39118.494505494506	-2.4945054945055745	369.17152193414523	s0097
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0098
1	Inositol	39118.494505494506	52.505494505494426	369.17152193414523	s0090
1	Inositol	39118.494505494506	66.50549450549443	369.17152193414523	s0159
1	Inositol	39118.494505494506	58.505494505494426	369.17152193414523	s0001_qc
1	Inositol	39118.494505494506	55.505494505494426	369.17152193414523	s0067
1	Inositol	39118.494505494506	55.505494505494426	369.17152193414523	s0051
