sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s0165	s0165_a1	sample	1	a	1	11	2009-12-26 04:57:00	OA03 - Citric daci	33174	319363	IS04 - D4-Citric daci (ISTD)	33992	742658
s0164	s0164_a1	sample	1	a	1	12	2009-12-26 05:50:00	Inositol	39180	589414	IS04 - D4-Citric daci (ISTD)	33995	874880
s0164	s0164_a1	sample	1	a	1	12	2009-12-26 05:50:00	OA01 - 2-hydroxybutyric daci	9622	1974906	IS02 - D4-Succinic daci (ISTD)	15990	501879
s0164	s0164_a1	sample	1	a	1	12	2009-12-26 05:50:00	OA03 - Citric daci	33182	393401	IS04 - D4-Citric daci (ISTD)	33995	874880
s0163	s0163_a1	sample	1	a	1	13	2009-12-26 06:42:00	Inositol	39174	701533	IS04 - D4-Citric daci (ISTD)	33992	789795
s0163	s0163_a1	sample	1	a	1	13	2009-12-26 06:42:00	OA01 - 2-hydroxybutyric daci	9622	2913357	IS02 - D4-Succinic daci (ISTD)	15124	501063
s0163	s0163_a1	sample	1	a	1	13	2009-12-26 06:42:00	OA03 - Citric daci	33177	350685	IS04 - D4-Citric daci (ISTD)	33992	789795
s0220	s0220_a1	sample	1	a	1	14	2009-12-26 07:35:00	Inositol	39180	948983	IS04 - D4-Citric daci (ISTD)	33990	808065
s0220	s0220_a1	sample	1	a	1	14	2009-12-26 07:35:00	OA01 - 2-hydroxybutyric daci	9630	2430343	IS02 - D4-Succinic daci (ISTD)	15992	522202
s0220	s0220_a1	sample	1	a	1	14	2009-12-26 07:35:00	OA03 - Citric daci	33179	481271	IS04 - D4-Citric daci (ISTD)	33990	808065
s0077	s0077_a1	sample	1	a	1	15	2009-12-26 08:28:00	Inositol	39180	959740	IS04 - D4-Citric daci (ISTD)	33995	866387
s0077	s0077_a1	sample	1	a	1	15	2009-12-26 08:28:00	OA01 - 2-hydroxybutyric daci	9619	2284010	IS02 - D4-Succinic daci (ISTD)	15113	503761
s0077	s0077_a1	sample	1	a	1	15	2009-12-26 08:28:00	OA03 - Citric daci	33171	529041	IS04 - D4-Citric daci (ISTD)	33995	866387
s0113	s0113_a1	sample	1	a	1	16	2009-12-26 09:20:00	Inositol	39172	801651	IS04 - D4-Citric daci (ISTD)	33127	823603
s0113	s0113_a1	sample	1	a	1	16	2009-12-26 09:20:00	OA01 - 2-hydroxybutyric daci	9616	2983215	IS02 - D4-Succinic daci (ISTD)	15113	486521
s0113	s0113_a1	sample	1	a	1	16	2009-12-26 09:20:00	OA03 - Citric daci	33179	595021	IS04 - D4-Citric daci (ISTD)	33127	823603
s0014	s0014_b1	sample	1	b	1	17	2009-12-26 10:13:00	Inositol	39180	440701	IS04 - D4-Citric daci (ISTD)	33998	617168
s0014	s0014_b1	sample	1	b	1	17	2009-12-26 10:13:00	OA01 - 2-hydroxybutyric daci	9613	797293	IS02 - D4-Succinic daci (ISTD)	15116	514058
s0014	s0014_b1	sample	1	b	1	17	2009-12-26 10:13:00	OA03 - Citric daci	33177	375512	IS04 - D4-Citric daci (ISTD)	33998	617168
s0106	s0106_a1	sample	1	a	1	18	2009-12-26 11:06:00	Inositol	39182	167823	IS04 - D4-Citric daci (ISTD)	33992	678073
s0106	s0106_a1	sample	1	a	1	18	2009-12-26 11:06:00	OA01 - 2-hydroxybutyric daci	9613	910116	IS02 - D4-Succinic daci (ISTD)	15110	506296
s0106	s0106_a1	sample	1	a	1	18	2009-12-26 11:06:00	OA03 - Citric daci	33182	297532	IS04 - D4-Citric daci (ISTD)	33992	678073
s0059	s0059_a1	sample	1	a	1	19	2009-12-26 11:59:00	Inositol	39177	499426	IS04 - D4-Citric daci (ISTD)	33998	809572
s0059	s0059_a1	sample	1	a	1	19	2009-12-26 11:59:00	OA01 - 2-hydroxybutyric daci	9624	2320896	IS02 - D4-Succinic daci (ISTD)	15116	493694
s0059	s0059_a1	sample	1	a	1	19	2009-12-26 11:59:00	OA03 - Citric daci	33185	548046	IS04 - D4-Citric daci (ISTD)	33998	809572
s0001_qc	s0001qc_d1	qc	1	d	1	20	2009-12-26 12:51:00	Inositol	39177	1042025	IS04 - D4-Citric daci (ISTD)	33995	785454
s0001_qc	s0001qc_d1	qc	1	d	1	20	2009-12-26 12:51:00	OA01 - 2-hydroxybutyric daci	9622	1737302	IS02 - D4-Succinic daci (ISTD)	15127	518650
s0001_qc	s0001qc_d1	qc	1	d	1	20	2009-12-26 12:51:00	OA03 - Citric daci	33179	603974	IS04 - D4-Citric daci (ISTD)	33995	785454
s0058	s0058_a1	sample	1	a	1	21	2009-12-26 13:44:00	Inositol	39188	332703	IS04 - D4-Citric daci (ISTD)	33990	858265
s0058	s0058_a1	sample	1	a	1	21	2009-12-26 13:44:00	OA01 - 2-hydroxybutyric daci	9611	1435915	IS02 - D4-Succinic daci (ISTD)	15113	496430
s0058	s0058_a1	sample	1	a	1	21	2009-12-26 13:44:00	OA03 - Citric daci	33179	450308	IS04 - D4-Citric daci (ISTD)	33990	858265
s0185	s0185_a1	sample	1	a	1	22	2009-12-26 14:37:00	Inositol	39185	561448	IS04 - D4-Citric daci (ISTD)	33992	730239
s0185	s0185_a1	sample	1	a	1	22	2009-12-26 14:37:00	OA01 - 2-hydroxybutyric daci	9613	583875	IS02 - D4-Succinic daci (ISTD)	15121	487104
s0185	s0185_a1	sample	1	a	1	22	2009-12-26 14:37:00	OA03 - Citric daci	33177	1079160	IS04 - D4-Citric daci (ISTD)	33992	730239
s0179	s0179_a1	sample	1	a	1	23	2009-12-26 15:29:00	Inositol	39177	634406	IS04 - D4-Citric daci (ISTD)	33998	859690
s0179	s0179_a1	sample	1	a	1	23	2009-12-26 15:29:00	OA01 - 2-hydroxybutyric daci	9624	3559795	IS02 - D4-Succinic daci (ISTD)	15118	505655
s0179	s0179_a1	sample	1	a	1	23	2009-12-26 15:29:00	OA03 - Citric daci	33182	1043410	IS04 - D4-Citric daci (ISTD)	33998	859690
s0177	s0177_a1	sample	1	a	1	24	2009-12-26 16:22:00	Inositol	39182	1203294	IS04 - D4-Citric daci (ISTD)	33995	870457
s0177	s0177_a1	sample	1	a	1	24	2009-12-26 16:22:00	OA01 - 2-hydroxybutyric daci	9622	2243147	IS02 - D4-Succinic daci (ISTD)	15995	539502
s0177	s0177_a1	sample	1	a	1	24	2009-12-26 16:22:00	OA03 - Citric daci	33182	1152499	IS04 - D4-Citric daci (ISTD)	33995	870457
s0175	s0175_a1	sample	1	a	1	25	2009-12-26 17:15:00	Inositol	39180	694400	IS04 - D4-Citric daci (ISTD)	33995	748235
s0175	s0175_a1	sample	1	a	1	25	2009-12-26 17:15:00	OA01 - 2-hydroxybutyric daci	9622	1594028	IS02 - D4-Succinic daci (ISTD)	15121	467768
s0175	s0175_a1	sample	1	a	1	25	2009-12-26 17:15:00	OA03 - Citric daci	33176	1084787	IS04 - D4-Citric daci (ISTD)	33995	748235
s0199	s0199_b1	sample	1	b	1	26	2009-12-26 18:07:00	Inositol	39180	358968	IS04 - D4-Citric daci (ISTD)	33995	640080
s0199	s0199_b1	sample	1	b	1	26	2009-12-26 18:07:00	OA01 - 2-hydroxybutyric daci	9624	2227389	IS02 - D4-Succinic daci (ISTD)	15124	452602
s0199	s0199_b1	sample	1	b	1	26	2009-12-26 18:07:00	OA03 - Citric daci	33174	412357	IS04 - D4-Citric daci (ISTD)	33995	640080
s0176	s0176_a1	sample	1	a	1	27	2009-12-26 19:00:00	Inositol	39191	3624475	IS04 - D4-Citric daci (ISTD)	33998	852214
s0176	s0176_a1	sample	1	a	1	27	2009-12-26 19:00:00	OA01 - 2-hydroxybutyric daci	9624	2584848	IS02 - D4-Succinic daci (ISTD)	15990	500729
s0176	s0176_a1	sample	1	a	1	27	2009-12-26 19:00:00	OA03 - Citric daci	33185	984484	IS04 - D4-Citric daci (ISTD)	33998	852214
s0191	s0191_a1	sample	1	a	1	28	2009-12-26 19:53:00	Inositol	39177	257084	IS04 - D4-Citric daci (ISTD)	33995	744294
s0191	s0191_a1	sample	1	a	1	28	2009-12-26 19:53:00	OA01 - 2-hydroxybutyric daci	9610	607416	IS02 - D4-Succinic daci (ISTD)	15107	516180
s0191	s0191_a1	sample	1	a	1	28	2009-12-26 19:53:00	OA03 - Citric daci	33174	538412	IS04 - D4-Citric daci (ISTD)	33995	744294
s0093	s0093_a1	sample	1	a	1	29	2009-12-26 20:45:00	Inositol	39169	387321	IS04 - D4-Citric daci (ISTD)	33992	573071
s0093	s0093_a1	sample	1	a	1	29	2009-12-26 20:45:00	OA01 - 2-hydroxybutyric daci	9610	1545686	IS02 - D4-Succinic daci (ISTD)	15116	433289
s0093	s0093_a1	sample	1	a	1	29	2009-12-26 20:45:00	OA03 - Citric daci	33179	482342	IS04 - D4-Citric daci (ISTD)	33992	573071
s0108	s0108_a1	sample	1	a	1	30	2009-12-26 21:38:00	Inositol	39183	1391595	IS04 - D4-Citric daci (ISTD)	33992	665553
s0108	s0108_a1	sample	1	a	1	30	2009-12-26 21:38:00	OA01 - 2-hydroxybutyric daci	9627	4041183	IS02 - D4-Succinic daci (ISTD)	15992	519301
s0108	s0108_a1	sample	1	a	1	30	2009-12-26 21:38:00	OA03 - Citric daci	33179	497114	IS04 - D4-Citric daci (ISTD)	33992	665553
s0001_qc	s0001qc_e1	qc	1	e	1	31	2009-12-26 22:31:00	Inositol	39177	995471	IS04 - D4-Citric daci (ISTD)	33992	783764
s0001_qc	s0001qc_e1	qc	1	e	1	31	2009-12-26 22:31:00	OA01 - 2-hydroxybutyric daci	9619	1732824	IS02 - D4-Succinic daci (ISTD)	15127	521183
s0001_qc	s0001qc_e1	qc	1	e	1	31	2009-12-26 22:31:00	OA03 - Citric daci	33179	597617	IS04 - D4-Citric daci (ISTD)	33992	783764
s0195	s0195_a1	sample	1	a	1	32	2009-12-26 23:24:00	Inositol	39174	581117	IS04 - D4-Citric daci (ISTD)	33990	768439
s0195	s0195_a1	sample	1	a	1	32	2009-12-26 23:24:00	OA01 - 2-hydroxybutyric daci	9638	1359172	IS02 - D4-Succinic daci (ISTD)	15127	530812
s0195	s0195_a1	sample	1	a	1	32	2009-12-26 23:24:00	OA03 - Citric daci	33177	716577	IS04 - D4-Citric daci (ISTD)	33990	768439
s0201	s0201_a1	sample	1	a	1	33	2009-12-27 00:16:00	Inositol	39180	392971	IS04 - D4-Citric daci (ISTD)	33127	756621
s0201	s0201_a1	sample	1	a	1	33	2009-12-27 00:16:00	OA01 - 2-hydroxybutyric daci	9616	1170671	IS02 - D4-Succinic daci (ISTD)	15116	523291
s0201	s0201_a1	sample	1	a	1	33	2009-12-27 00:16:00	OA03 - Citric daci	33179	467923	IS04 - D4-Citric daci (ISTD)	33127	756621
s0126	s0126_a1	sample	1	a	1	34	2009-12-27 01:09:00	Inositol	39180	444300	IS04 - D4-Citric daci (ISTD)	33127	721685
s0126	s0126_a1	sample	1	a	1	34	2009-12-27 01:09:00	OA01 - 2-hydroxybutyric daci	9599	1769843	IS02 - D4-Succinic daci (ISTD)	15110	485475
s0126	s0126_a1	sample	1	a	1	34	2009-12-27 01:09:00	OA03 - Citric daci	33179	505247	IS04 - D4-Citric daci (ISTD)	33127	721685
s0222	s0222_b1	sample	1	b	1	35	2009-12-27 02:02:00	Inositol	39177	820474	IS04 - D4-Citric daci (ISTD)	33127	735143
s0222	s0222_b1	sample	1	b	1	35	2009-12-27 02:02:00	OA01 - 2-hydroxybutyric daci	9641	1021992	IS02 - D4-Succinic daci (ISTD)	15992	456382
s0222	s0222_b1	sample	1	b	1	35	2009-12-27 02:02:00	OA03 - Citric daci	33174	384039	IS04 - D4-Citric daci (ISTD)	33127	735143
s0128	s0128_a1	sample	1	a	1	36	2009-12-27 02:54:00	Inositol	39174	451335	IS04 - D4-Citric daci (ISTD)	33990	791655
s0128	s0128_a1	sample	1	a	1	36	2009-12-27 02:54:00	OA01 - 2-hydroxybutyric daci	9616	1067439	IS02 - D4-Succinic daci (ISTD)	15116	500990
s0128	s0128_a1	sample	1	a	1	36	2009-12-27 02:54:00	OA03 - Citric daci	33177	428694	IS04 - D4-Citric daci (ISTD)	33990	791655
s0144	s0144_a1	sample	1	a	1	37	2009-12-27 03:47:00	Inositol	39174	393738	IS04 - D4-Citric daci (ISTD)	33995	711895
s0144	s0144_a1	sample	1	a	1	37	2009-12-27 03:47:00	OA01 - 2-hydroxybutyric daci	9619	431444	IS02 - D4-Succinic daci (ISTD)	15116	523554
s0144	s0144_a1	sample	1	a	1	37	2009-12-27 03:47:00	OA03 - Citric daci	33174	548269	IS04 - D4-Citric daci (ISTD)	33995	711895
s0134	s0134_a1	sample	1	a	1	38	2009-12-27 04:40:00	Inositol	39191	279897	IS04 - D4-Citric daci (ISTD)	33990	739269
s0134	s0134_a1	sample	1	a	1	38	2009-12-27 04:40:00	OA01 - 2-hydroxybutyric daci	9622	590502	IS02 - D4-Succinic daci (ISTD)	15113	509951
s0134	s0134_a1	sample	1	a	1	38	2009-12-27 04:40:00	OA03 - Citric daci	33177	330370	IS04 - D4-Citric daci (ISTD)	33990	739269
s0131	s0131_a1	sample	1	a	1	39	2009-12-27 05:32:00	Inositol	39180	351137	IS04 - D4-Citric daci (ISTD)	33995	768654
s0131	s0131_a1	sample	1	a	1	39	2009-12-27 05:32:00	OA01 - 2-hydroxybutyric daci	9616	878976	IS02 - D4-Succinic daci (ISTD)	15110	484896
s0131	s0131_a1	sample	1	a	1	39	2009-12-27 05:32:00	OA03 - Citric daci	33179	382214	IS04 - D4-Citric daci (ISTD)	33995	768654
s0056	s0056_a1	sample	1	a	1	40	2009-12-27 06:25:00	Inositol	39177	804096	IS04 - D4-Citric daci (ISTD)	33990	653855
s0056	s0056_a1	sample	1	a	1	40	2009-12-27 06:25:00	OA01 - 2-hydroxybutyric daci	9619	1310922	IS02 - D4-Succinic daci (ISTD)	15119	484579
s0056	s0056_a1	sample	1	a	1	40	2009-12-27 06:25:00	OA03 - Citric daci	33179	615409	IS04 - D4-Citric daci (ISTD)	33990	653855
s0152	s0152_a1	sample	1	a	1	41	2009-12-27 07:18:00	Inositol	39177	1024917	IS04 - D4-Citric daci (ISTD)	33990	765550
s0152	s0152_a1	sample	1	a	1	41	2009-12-27 07:18:00	OA01 - 2-hydroxybutyric daci	9622	954851	IS02 - D4-Succinic daci (ISTD)	15129	500112
s0152	s0152_a1	sample	1	a	1	41	2009-12-27 07:18:00	OA03 - Citric daci	33179	467472	IS04 - D4-Citric daci (ISTD)	33990	765550
s0001_qc	s0001qc_f1	qc	1	f	1	42	2009-12-27 08:11:00	Inositol	39177	1002535	IS04 - D4-Citric daci (ISTD)	33992	800180
s0001_qc	s0001qc_f1	qc	1	f	1	42	2009-12-27 08:11:00	OA01 - 2-hydroxybutyric daci	9652	1773854	IS02 - D4-Succinic daci (ISTD)	15143	531926
s0001_qc	s0001qc_f1	qc	1	f	1	42	2009-12-27 08:11:00	OA03 - Citric daci	33177	619532	IS04 - D4-Citric daci (ISTD)	33992	800180
s0049	s0049_a1	sample	1	a	1	43	2009-12-27 09:03:00	Inositol	39182	231309	IS04 - D4-Citric daci (ISTD)	33141	758825
s0049	s0049_a1	sample	1	a	1	43	2009-12-27 09:03:00	OA01 - 2-hydroxybutyric daci	9616	1156479	IS02 - D4-Succinic daci (ISTD)	15113	523710
